v1,v2,
1,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
2,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
1,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
1,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
4,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
0,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
2,اس لحاظ سے مجھے جناب محمد وارث سے اتفاق ہے ,
1,جیو کا تو بس نہیں چلا ورنہ بال ٹھاکرے کو ’ شہید ‘ قرار دے کر اس کے نام کے ساتھ ’ رحمۃ اللہ علیہ ‘ اور ’ خلد مکانی ‘ لکھ کر درشکوں ( ناظرین ) سے ٹھاکرے کی آتما کی شانتی کے لئے پرارتھنا کرنے کو کہتا ,
1,جیو کا تو بس نہیں چلا ورنہ بال ٹھاکرے کو ’ شہید ‘ قرار دے کر اس کے نام کے ساتھ ’ رحمۃ اللہ علیہ ‘ اور ’ خلد مکانی ‘ لکھ کر درشکوں ( ناظرین ) سے ٹھاکرے کی آتما کی شانتی کے لئے پرارتھنا کرنے کو کہتا ,
4,جیو کا تو بس نہیں چلا ورنہ بال ٹھاکرے کو ’ شہید ‘ قرار دے کر اس کے نام کے ساتھ ’ رحمۃ اللہ علیہ ‘ اور ’ خلد مکانی ‘ لکھ کر درشکوں ( ناظرین ) سے ٹھاکرے کی آتما کی شانتی کے لئے پرارتھنا کرنے کو کہتا ,
1,جیو کا تو بس نہیں چلا ورنہ بال ٹھاکرے کو ’ شہید ‘ قرار دے کر اس کے نام کے ساتھ ’ رحمۃ اللہ علیہ ‘ اور ’ خلد مکانی ‘ لکھ کر درشکوں ( ناظرین ) سے ٹھاکرے کی آتما کی شانتی کے لئے پرارتھنا کرنے کو کہتا ,
1,جیو کا تو بس نہیں چلا ورنہ بال ٹھاکرے کو ’ شہید ‘ قرار دے کر اس کے نام کے ساتھ ’ رحمۃ اللہ علیہ ‘ اور ’ خلد مکانی ‘ لکھ کر درشکوں ( ناظرین ) سے ٹھاکرے کی آتما کی شانتی کے لئے پرارتھنا کرنے کو کہتا ,
1,جیو کا تو بس نہیں چلا ورنہ بال ٹھاکرے کو ’ شہید ‘ قرار دے کر اس کے نام کے ساتھ ’ رحمۃ اللہ علیہ ‘ اور ’ خلد مکانی ‘ لکھ کر درشکوں ( ناظرین ) سے ٹھاکرے کی آتما کی شانتی کے لئے پرارتھنا کرنے کو کہتا ,
1,کون سے ھال کی بابت پوچھ رہی ہو ,
1,راشد بھائی کتاب مانگ کے پڑھنے کا بھی اپنا ایک الگ مزا ہے ,
1,راشد بھائی کتاب مانگ کے پڑھنے کا بھی اپنا ایک الگ مزا ہے ,
1,راشد بھائی کتاب مانگ کے پڑھنے کا بھی اپنا ایک الگ مزا ہے ,
1,راشد بھائی کتاب مانگ کے پڑھنے کا بھی اپنا ایک الگ مزا ہے ,
1,راشد بھائی کتاب مانگ کے پڑھنے کا بھی اپنا ایک الگ مزا ہے ,
1,یہ تو بہت برا ہوا یور ہائی نس اب کیا ہوگا ,
0,یہ تو بہت برا ہوا یور ہائی نس اب کیا ہوگا ,
1,بہت شکریہ اتنی اچھی سمائیلیز پوسٹ کرنے کا,
5,زمین کے اوپر بھی ہر طرف دریا رواں ہیں ,
1,زمین کے اوپر بھی ہر طرف دریا رواں ہیں ,
3,زمین کے اوپر بھی ہر طرف دریا رواں ہیں ,
1,زمین کے اوپر بھی ہر طرف دریا رواں ہیں ,
5,زمین کے اوپر بھی ہر طرف دریا رواں ہیں ,
1,محب علوی بھیا بعد میں کوئی پوچھے گا نہیں ,
1,لیکن ان افسانوں میں افسانویت کم اور فلسفہ زیادہ چھایا ہوا ملتا ہے ,
1,لیکن ان افسانوں میں افسانویت کم اور فلسفہ زیادہ چھایا ہوا ملتا ہے ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
4,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
3,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
2,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
2,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
3,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
3,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
1,سب لوگوں نے اس بات کی تصدیق کی ، پھر حضرت عثمان رضی اللہ عنہ نے فرمایا : میں اس شخص سے سوال کرتا ہوں جس نے حضور نبی اکرم صلی اللہ علیہ وآلہ وسلم سے جیش عسرہ کے دن سنا ہو کہ آپ صلی اللہ علیہ وآلہ وسلم نے ارشاد فرمایا تھا ایسا شخص کون ہے جو مال مقبول کو اﷲ کی راہ میں خرچ کرے اور میں نے آپ صلی اللہ علیہ وآلہ وسلم کی یہ خواہش سنتے ہی آدھے لشکر کی تیاری اپنے مال سے کرا دی ,
